縣市別,納稅單位,合 計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資收入
臺 北 市,856961,100,0.57,2.41,61.9,3.05,4.07,0.48,0.11,23.87,0.31,2.24,0.05,0.94,78.17
高 雄 市,734674,100,0.71,2.72,72.87,3.11,2.29,0.36,0.13,13.11,0.16,1.61,0.02,2.92,102.28
臺 中 市,775146,100,0.48,2.44,67.24,2.86,3.08,0.43,0.14,17.39,0.09,1.48,0.02,4.35,95.52
基 隆 市,107326,100,0.5,2.16,80.14,2.81,1.81,0.23,0.16,8.1,0.1,1.57,0.03,2.39,114.48
臺 南 市,479412,100,0.62,2.04,72.05,2.76,1.86,0.27,0.15,14.6,0.1,1.46,0.02,4.07,100.93
嘉 義 市,68096,100,0.79,2.49,71.19,3.83,2.26,0.19,0.12,13.05,0.1,1.08,0.02,4.88,99.28
新 竹 市,137408,100,0.39,1.1,75.73,2.06,1.49,0.45,0.15,13.15,0.17,3.72,0.01,1.58,92.84
新 北 市,1200122,100,0.49,1.98,74.57,2.8,2.57,0.42,0.17,12.5,0.17,2.04,0.04,2.23,102.7
宜 蘭 縣,112574,100,1.13,2.52,75.03,2.99,1.99,0.35,0.15,10.17,0.11,1.28,0.03,4.25,110.21
桃 園 市,658935,100,0.51,2.08,76.64,2.52,2.2,0.38,0.16,10.67,0.14,2.2,0.02,2.48,107.1
新 竹 縣,170318,100,0.29,1.1,79.87,1.69,1.38,0.36,0.17,8.67,0.12,4.37,0.01,1.97,100.7
苗 栗 縣,145321,100,0.5,1.94,79.15,2.38,1.34,0.15,0.17,8.71,0.09,1.99,0.01,3.56,112.75
南 投 縣,103336,100,0.56,2.21,73.89,3.24,1.95,0.23,0.14,11.43,0.06,1.18,0.02,5.08,108.94
彰 化 縣,304136,100,0.69,1.9,67.86,3.02,2.15,0.18,0.14,17.11,0.05,1.17,0.01,5.73,102.41
雲 林 縣,136690,100,0.74,2.07,73.17,3,1.67,0.16,0.14,12.3,0.04,1.3,0.01,5.4,105.87
嘉 義 縣,96839,100,0.97,1.99,76.06,2.92,1.47,0.12,0.14,10.63,0.11,1.24,0.01,4.33,110.76
屏 東 縣,163161,100,0.76,2.2,77.37,3.08,1.82,0.18,0.15,8.25,0.11,1.42,0.02,4.64,113.02
花 蓮 縣,75017,100,1.2,3.59,75.86,3.16,2.05,0.2,0.13,8.36,0.1,1.08,0.02,4.23,110.88
臺 東 縣,40927,100,1.2,2.12,78.2,3,1.69,0.17,0.15,7.39,0.04,1.09,0.03,4.94,114.13
澎 湖 縣,27216,100,0.92,1.3,80.98,3.15,1.19,0.14,0.12,7.21,0.03,0.79,0.03,4.13,112.74
金 門 縣,43558,100,0.93,1.99,79.67,3.7,1.26,0.21,0.16,7.89,0.13,1.55,0.02,2.48,110.67
連 江 縣,4793,100,1.14,1.4,85.33,2.42,1.23,0.13,0.1,6.19,0.08,0.57,0,1.41,116.15
合 計,6441966,100,0.57,2.17,71.25,2.83,2.61,0.37,0.14,15.09,0.16,1.98,0.03,2.78,97.69
